State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
Census Tract 4014,"5,355","1,426",26.60%,"1,578",29.50%,42,0.80%,575,10.70%,46,0.90%,47,0.90%,358,6.70%,"1,283",0.24,0.27,140,6,1,401400
Census Tract 4015,"2,661",819,30.80%,946,35.60%,2,0.10%,188,7.10%,4,0.20%,27,1.00%,201,7.60%,474,0.18,0.31,140,6,1,401500
Census Tract 4016,"2,971",801,27.00%,793,26.70%,22,0.70%,283,9.50%,38,1.30%,43,1.40%,200,6.70%,791,0.27,0.27,140,6,1,401600
Census Tract 4017,"6,121","1,861",30.40%,"1,265",20.70%,40,0.70%,776,12.70%,117,1.90%,47,0.80%,430,7.00%,"1,585",0.26,0.3,140,6,1,401700
Census Tract 4018,"1,981",496,25.00%,822,41.50%,8,0.40%,96,4.80%,8,0.40%,26,1.30%,122,6.20%,403,0.2,0.25,140,6,1,401800
Census Tract 4022,"3,250",879,27.00%,841,25.90%,15,0.50%,341,10.50%,42,1.30%,26,0.80%,182,5.60%,924,0.28,0.27,140,6,1,402200
Census Tract 4024,"2,459",553,22.50%,971,39.50%,6,0.20%,397,16.10%,5,0.20%,20,0.80%,148,6.00%,359,0.15,0.22,140,6,1,402400
Census Tract 4025,"2,010",402,20.00%,"1,014",50.40%,2,0.10%,204,10.10%,10,0.50%,37,1.80%,172,8.60%,169,0.08,0.2,140,6,1,402500
Census Tract 4026,"1,226",214,17.50%,324,26.40%,4,0.30%,505,41.20%,4,0.30%,3,0.20%,59,4.80%,113,0.09,0.17,140,6,1,402600
Census Tract 4027,"1,827",414,22.70%,732,40.10%,2,0.10%,180,9.90%,7,0.40%,26,1.40%,102,5.60%,364,0.2,0.23,140,6,1,402700
Census Tract 4028.01,"2,941",725,24.70%,"1,005",34.20%,2,0.10%,754,25.60%,2,0.10%,13,0.40%,173,5.90%,267,0.09,0.25,140,6,1,402801
Census Tract 4028.02,"1,453",311,21.40%,565,38.90%,14,1.00%,281,19.30%,20,1.40%,7,0.50%,90,6.20%,165,0.11,0.21,140,6,1,402802
Census Tract 4029,"1,917",559,29.20%,326,17.00%,0,0.00%,730,38.10%,0,0.00%,0,0.00%,95,5.00%,207,0.11,0.29,140,6,1,402900
Census Tract 4030,"3,007",238,7.90%,122,4.10%,4,0.10%,"2,472",82.20%,7,0.20%,4,0.10%,65,2.20%,95,0.03,0.08,140,6,1,403000
Census Tract 4031,"1,690",458,27.10%,236,14.00%,0,0.00%,732,43.30%,5,0.30%,10,0.60%,96,5.70%,153,0.09,0.27,140,6,1,403100
Census Tract 4033.01,"1,999",186,9.30%,221,11.10%,0,0.00%,"1,413",70.70%,4,0.20%,5,0.30%,63,3.20%,107,0.05,0.09,140,6,1,403301
Census Tract 4033.02,"3,220","1,261",39.20%,403,12.50%,7,0.20%,843,26.20%,20,0.60%,23,0.70%,250,7.80%,413,0.13,0.39,140,6,1,403302
Census Tract 4034.01,"3,031","1,178",38.90%,443,14.60%,0,0.00%,817,27.00%,17,0.60%,19,0.60%,166,5.50%,391,0.13,0.39,140,6,1,403401
Census Tract 4034.02,"1,524",463,30.40%,319,20.90%,10,0.70%,401,26.30%,4,0.30%,24,1.60%,101,6.60%,202,0.13,0.3,140,6,1,403402
Census Tract 4035.01,"5,880","2,105",35.80%,"1,320",22.40%,26,0.40%,"1,368",23.30%,25,0.40%,40,0.70%,388,6.60%,608,0.1,0.36,140,6,1,403501
Census Tract 4035.02,"2,148",996,46.40%,367,17.10%,3,0.10%,300,14.00%,4,0.20%,12,0.60%,163,7.60%,303,0.14,0.46,140,6,1,403502
Census Tract 4036,"4,717","1,830",38.80%,"1,259",26.70%,3,0.10%,637,13.50%,13,0.30%,37,0.80%,369,7.80%,569,0.12,0.39,140,6,1,403600
Census Tract 4037.01,"2,786","1,392",50.00%,406,14.60%,5,0.20%,432,15.50%,5,0.20%,24,0.90%,182,6.50%,340,0.12,0.5,140,6,1,403701
Census Tract 4037.02,"2,149","1,068",49.70%,389,18.10%,3,0.10%,293,13.60%,5,0.20%,22,1.00%,151,7.00%,218,0.1,0.5,140,6,1,403702
Census Tract 4038,"3,710","2,158",58.20%,319,8.60%,2,0.10%,481,13.00%,9,0.20%,22,0.60%,316,8.50%,403,0.11,0.58,140,6,1,403800
Census Tract 4039,"3,943","2,110",53.50%,488,12.40%,6,0.20%,550,13.90%,7,0.20%,38,1.00%,276,7.00%,468,0.12,0.54,140,6,1,403900
Census Tract 4040,"3,049","1,592",52.20%,366,12.00%,9,0.30%,436,14.30%,3,0.10%,21,0.70%,250,8.20%,372,0.12,0.52,140,6,1,404000
Census Tract 4041.01,"3,139","1,945",62.00%,186,5.90%,4,0.10%,384,12.20%,0,0.00%,33,1.10%,235,7.50%,352,0.11,0.62,140,6,1,404101
Census Tract 4041.02,"2,516","1,549",61.60%,181,7.20%,8,0.30%,345,13.70%,0,0.00%,15,0.60%,159,6.30%,259,0.1,0.62,140,6,1,404102
Census Tract 4042,"3,641","2,307",63.40%,191,5.20%,5,0.10%,504,13.80%,0,0.00%,18,0.50%,315,8.70%,301,0.08,0.63,140,6,1,404200
Census Tract 4043,"3,416","2,261",66.20%,115,3.40%,5,0.10%,489,14.30%,0,0.00%,17,0.50%,300,8.80%,229,0.07,0.66,140,6,1,404300
Census Tract 4044,"5,621","3,345",59.50%,269,4.80%,9,0.20%,940,16.70%,6,0.10%,51,0.90%,545,9.70%,456,0.08,0.6,140,6,1,404400
Census Tract 4045.01,"1,771","1,173",66.20%,65,3.70%,1,0.10%,228,12.90%,3,0.20%,23,1.30%,155,8.80%,123,0.07,0.66,140,6,1,404501
Census Tract 4045.02,"6,194","3,911",63.10%,367,5.90%,7,0.10%,774,12.50%,4,0.10%,35,0.60%,545,8.80%,551,0.09,0.63,140,6,1,404502
Census Tract 4046,"4,551","2,940",64.60%,218,4.80%,4,0.10%,556,12.20%,3,0.10%,33,0.70%,415,9.10%,382,0.08,0.65,140,6,1,404600
Census Tract 4047,"1,982","1,239",62.50%,151,7.60%,3,0.20%,197,9.90%,7,0.40%,18,0.90%,182,9.20%,185,0.09,0.63,140,6,1,404700
Census Tract 4048,"2,757","1,246",45.20%,360,13.10%,8,0.30%,418,15.20%,15,0.50%,13,0.50%,221,8.00%,476,0.17,0.45,140,6,1,404800
Census Tract 4049,"4,458","2,281",51.20%,483,10.80%,8,0.20%,757,17.00%,14,0.30%,24,0.50%,364,8.20%,527,0.12,0.51,140,6,1,404900
Census Tract 4050,"3,313","2,036",61.50%,224,6.80%,1,0.00%,412,12.40%,0,0.00%,21,0.60%,302,9.10%,317,0.1,0.61,140,6,1,405000
Census Tract 4051,"4,363","2,752",63.10%,368,8.40%,4,0.10%,483,11.10%,3,0.10%,42,1.00%,362,8.30%,349,0.08,0.63,140,6,1,405100
Census Tract 4052,"4,839","1,900",39.30%,569,11.80%,20,0.40%,"1,238",25.60%,9,0.20%,35,0.70%,443,9.20%,625,0.13,0.39,140,6,1,405200
Census Tract 4053.01,"2,991","1,246",41.70%,484,16.20%,10,0.30%,461,15.40%,7,0.20%,24,0.80%,234,7.80%,525,0.18,0.42,140,6,1,405301
Census Tract 4053.02,"2,797",821,29.40%,428,15.30%,2,0.10%,970,34.70%,2,0.10%,16,0.60%,167,6.00%,391,0.14,0.29,140,6,1,405302
Census Tract 4054.01,"3,875",698,18.00%,655,16.90%,13,0.30%,"1,541",39.80%,10,0.30%,30,0.80%,175,4.50%,753,0.19,0.18,140,6,1,405401
Census Tract 4054.02,"3,171",439,13.80%,596,18.80%,14,0.40%,"1,228",38.70%,5,0.20%,6,0.20%,156,4.90%,727,0.23,0.14,140,6,1,405402
Census Tract 4055,"3,844",849,22.10%,641,16.70%,17,0.40%,"1,464",38.10%,8,0.20%,19,0.50%,183,4.80%,663,0.17,0.22,140,6,1,405500
Census Tract 4056,"3,224",901,27.90%,536,16.60%,14,0.40%,"1,026",31.80%,7,0.20%,19,0.60%,199,6.20%,522,0.16,0.28,140,6,1,405600
Census Tract 4057,"3,423",579,16.90%,835,24.40%,15,0.40%,"1,108",32.40%,5,0.10%,24,0.70%,198,5.80%,659,0.19,0.17,140,6,1,405700
Census Tract 4058,"4,320",476,11.00%,695,16.10%,2,0.00%,"2,017",46.70%,22,0.50%,38,0.90%,174,4.00%,896,0.21,0.11,140,6,1,405800
Census Tract 4059.01,"4,279",289,6.80%,541,12.60%,23,0.50%,"1,467",34.30%,16,0.40%,16,0.40%,122,2.90%,"1,805",0.42,0.07,140,6,1,405901
Census Tract 4059.02,"3,181",280,8.80%,442,13.90%,10,0.30%,"1,513",47.60%,9,0.30%,13,0.40%,87,2.70%,827,0.26,0.09,140,6,1,405902
Census Tract 4060,"5,223","1,128",21.60%,786,15.00%,42,0.80%,"1,726",33.00%,69,1.30%,34,0.70%,222,4.30%,"1,216",0.23,0.22,140,6,1,406000
Census Tract 4061,"5,887","1,173",19.90%,804,13.70%,41,0.70%,701,11.90%,47,0.80%,30,0.50%,219,3.70%,"2,872",0.49,0.2,140,6,1,406100
Census Tract 4062.01,"5,019",286,5.70%,637,12.70%,20,0.40%,"1,454",29.00%,11,0.20%,13,0.30%,151,3.00%,"2,447",0.49,0.06,140,6,1,406201
Census Tract 4062.02,"4,769",313,6.60%,514,10.80%,39,0.80%,644,13.50%,14,0.30%,28,0.60%,103,2.20%,"3,114",0.65,0.07,140,6,1,406202
Census Tract 4063,"3,989",461,11.60%,652,16.30%,8,0.20%,"1,273",31.90%,32,0.80%,22,0.60%,117,2.90%,"1,424",0.36,0.12,140,6,1,406300
Census Tract 4064,"2,211",553,25.00%,506,22.90%,2,0.10%,507,22.90%,6,0.30%,8,0.40%,140,6.30%,489,0.22,0.25,140,6,1,406400
Census Tract 4065,"6,196",592,9.60%,995,16.10%,22,0.40%,"1,328",21.40%,24,0.40%,31,0.50%,238,3.80%,"2,966",0.48,0.1,140,6,1,406500
Census Tract 4066.01,"4,834",802,16.60%,"1,081",22.40%,15,0.30%,"1,299",26.90%,21,0.40%,30,0.60%,280,5.80%,"1,306",0.27,0.17,140,6,1,406601
Census Tract 4066.02,"2,554",410,16.10%,577,22.60%,7,0.30%,594,23.30%,34,1.30%,9,0.40%,125,4.90%,798,0.31,0.16,140,6,1,406602
Census Tract 4067,"5,567","2,650",47.60%,726,13.00%,18,0.30%,957,17.20%,30,0.50%,43,0.80%,448,8.00%,695,0.13,0.48,140,6,1,406700
Census Tract 4068,"3,569","1,393",39.00%,483,13.50%,10,0.30%,841,23.60%,19,0.50%,17,0.50%,271,7.60%,535,0.15,0.39,140,6,1,406800
Census Tract 4069,"3,839","1,395",36.30%,712,18.50%,17,0.40%,707,18.40%,17,0.40%,23,0.60%,306,8.00%,662,0.17,0.36,140,6,1,406900
Census Tract 4070,"6,079",883,14.50%,"1,165",19.20%,30,0.50%,"1,606",26.40%,35,0.60%,49,0.80%,235,3.90%,"2,076",0.34,0.15,140,6,1,407000
Census Tract 4071.01,"3,558",311,8.70%,484,13.60%,6,0.20%,671,18.90%,10,0.30%,16,0.40%,106,3.00%,"1,954",0.55,0.09,140,6,1,407101
Census Tract 4071.02,"4,382",531,12.10%,653,14.90%,18,0.40%,904,20.60%,20,0.50%,16,0.40%,183,4.20%,"2,057",0.47,0.12,140,6,1,407102
Census Tract 4072,"6,823",525,7.70%,414,6.10%,41,0.60%,733,10.70%,3,0.00%,24,0.40%,109,1.60%,"4,974",0.73,0.08,140,6,1,407200
Census Tract 4073,"3,943",655,16.60%,582,14.80%,24,0.60%,268,6.80%,66,1.70%,21,0.50%,154,3.90%,"2,173",0.55,0.17,140,6,1,407300
Census Tract 4074,"4,412",142,3.20%,757,17.20%,16,0.40%,395,9.00%,10,0.20%,13,0.30%,108,2.40%,"2,971",0.67,0.03,140,6,1,407400
Census Tract 4075,"4,383",230,5.20%,"1,101",25.10%,16,0.40%,269,6.10%,66,1.50%,22,0.50%,134,3.10%,"2,545",0.58,0.05,140,6,1,407500
Census Tract 4076,"6,390","1,052",16.50%,"1,794",28.10%,28,0.40%,664,10.40%,72,1.10%,37,0.60%,342,5.40%,"2,401",0.38,0.16,140,6,1,407600
Census Tract 4077,"4,465","1,284",28.80%,"1,621",36.30%,11,0.20%,365,8.20%,12,0.30%,36,0.80%,338,7.60%,798,0.18,0.29,140,6,1,407700
Census Tract 4078,"2,373",755,31.80%,640,27.00%,3,0.10%,223,9.40%,9,0.40%,20,0.80%,185,7.80%,538,0.23,0.32,140,6,1,407800
Census Tract 4079,"3,081","1,154",37.50%,565,18.30%,5,0.20%,479,15.50%,19,0.60%,29,0.90%,286,9.30%,544,0.18,0.37,140,6,1,407900
Census Tract 4080,"2,630","1,380",52.50%,292,11.10%,0,0.00%,501,19.00%,5,0.20%,12,0.50%,203,7.70%,237,0.09,0.52,140,6,1,408000
Census Tract 4081,"6,712","2,275",33.90%,"1,630",24.30%,3,0.00%,"1,492",22.20%,24,0.40%,33,0.50%,546,8.10%,709,0.11,0.34,140,6,1,408100
Census Tract 4082,"4,471",857,19.20%,"1,749",39.10%,22,0.50%,275,6.20%,10,0.20%,41,0.90%,296,6.60%,"1,221",0.27,0.19,140,6,1,408200
Census Tract 4083,"4,791","1,169",24.40%,"1,592",33.20%,8,0.20%,371,7.70%,36,0.80%,38,0.80%,358,7.50%,"1,219",0.25,0.24,140,6,1,408300
Census Tract 4084,"3,927",170,4.30%,"1,444",36.80%,16,0.40%,113,2.90%,42,1.10%,34,0.90%,123,3.10%,"1,985",0.51,0.04,140,6,1,408400
Census Tract 4085,"5,752",205,3.60%,"1,980",34.40%,24,0.40%,174,3.00%,76,1.30%,23,0.40%,174,3.00%,"3,096",0.54,0.04,140,6,1,408500
Census Tract 4086,"6,167",312,5.10%,"2,031",32.90%,11,0.20%,264,4.30%,57,0.90%,31,0.50%,233,3.80%,"3,228",0.52,0.05,140,6,1,408600
Census Tract 4087,"7,774",530,6.80%,"2,742",35.30%,11,0.10%,365,4.70%,45,0.60%,39,0.50%,280,3.60%,"3,762",0.48,0.07,140,6,1,408700
Census Tract 4088,"7,257",450,6.20%,"2,305",31.80%,31,0.40%,592,8.20%,82,1.10%,34,0.50%,245,3.40%,"3,518",0.49,0.06,140,6,1,408800
Census Tract 4089,"3,857",143,3.70%,923,23.90%,11,0.30%,155,4.00%,19,0.50%,13,0.30%,79,2.00%,"2,514",0.65,0.04,140,6,1,408900
Census Tract 4090,"4,879",365,7.50%,"1,425",29.20%,27,0.60%,292,6.00%,73,1.50%,41,0.80%,101,2.10%,"2,555",0.52,0.07,140,6,1,409000
Census Tract 4091,"2,472",50,2.00%,629,25.40%,18,0.70%,122,4.90%,53,2.10%,10,0.40%,63,2.50%,"1,527",0.62,0.02,140,6,1,409100
Census Tract 4092,"3,755",101,2.70%,927,24.70%,21,0.60%,213,5.70%,59,1.60%,28,0.70%,96,2.60%,"2,310",0.62,0.03,140,6,1,409200
Census Tract 4093,"5,701",235,4.10%,"1,287",22.60%,10,0.20%,196,3.40%,27,0.50%,47,0.80%,118,2.10%,"3,781",0.66,0.04,140,6,1,409300
Census Tract 4094,"5,379",181,3.40%,858,16.00%,18,0.30%,388,7.20%,54,1.00%,23,0.40%,73,1.40%,"3,784",0.7,0.03,140,6,1,409400
Census Tract 4095,"4,390",246,5.60%,994,22.60%,15,0.30%,176,4.00%,42,1.00%,31,0.70%,82,1.90%,"2,804",0.64,0.06,140,6,1,409500
Census Tract 4096,"5,777",142,2.50%,"1,309",22.70%,10,0.20%,167,2.90%,59,1.00%,18,0.30%,147,2.50%,"3,925",0.68,0.02,140,6,1,409600
Census Tract 4097,"5,523",159,2.90%,"1,980",35.90%,14,0.30%,219,4.00%,135,2.40%,27,0.50%,210,3.80%,"2,779",0.5,0.03,140,6,1,409700
Census Tract 4098,"3,220",492,15.30%,"1,640",50.90%,8,0.20%,222,6.90%,20,0.60%,29,0.90%,215,6.70%,594,0.18,0.15,140,6,1,409800
Census Tract 4099,"3,546",997,28.10%,"1,514",42.70%,11,0.30%,367,10.30%,9,0.30%,26,0.70%,247,7.00%,375,0.11,0.28,140,6,1,409900
Census Tract 4100,"3,031",953,31.40%,"1,167",38.50%,1,0.00%,267,8.80%,1,0.00%,26,0.90%,198,6.50%,418,0.14,0.31,140,6,1,410000
Census Tract 4101,"2,925",310,10.60%,"1,384",47.30%,5,0.20%,201,6.90%,48,1.60%,26,0.90%,157,5.40%,794,0.27,0.11,140,6,1,410100
Census Tract 4102,"3,679",212,5.80%,"1,410",38.30%,6,0.20%,234,6.40%,65,1.80%,24,0.70%,131,3.60%,"1,597",0.43,0.06,140,6,1,410200
Census Tract 4103,"4,036",73,1.80%,832,20.60%,4,0.10%,131,3.20%,80,2.00%,8,0.20%,92,2.30%,"2,816",0.7,0.02,140,6,1,410300
Census Tract 4104,"4,142",247,6.00%,"1,291",31.20%,7,0.20%,453,10.90%,18,0.40%,27,0.70%,144,3.50%,"1,955",0.47,0.06,140,6,1,410400
Census Tract 4105,"2,553",426,16.70%,"1,306",51.20%,9,0.40%,268,10.50%,25,1.00%,15,0.60%,168,6.60%,336,0.13,0.17,140,6,1,410500
Census Tract 4201,"2,436","1,343",55.10%,40,1.60%,1,0.00%,585,24.00%,2,0.10%,33,1.40%,186,7.60%,246,0.1,0.55,140,6,1,420100
Census Tract 4202,"3,234","1,185",36.60%,96,3.00%,3,0.10%,"1,273",39.40%,2,0.10%,8,0.20%,286,8.80%,381,0.12,0.37,140,6,1,420200
Census Tract 4203.01,"2,593",826,31.90%,107,4.10%,0,0.00%,"1,294",49.90%,0,0.00%,7,0.30%,168,6.50%,191,0.07,0.32,140,6,1,420301
Census Tract 4203.02,"2,426","1,023",42.20%,74,3.10%,0,0.00%,755,31.10%,0,0.00%,23,0.90%,202,8.30%,349,0.14,0.42,140,6,1,420302
Census Tract 4204.01,"1,597",642,40.20%,87,5.40%,4,0.30%,351,22.00%,1,0.10%,17,1.10%,104,6.50%,391,0.25,0.4,140,6,1,420401
Census Tract 4204.02,"2,155",701,32.50%,164,7.60%,2,0.10%,550,25.50%,1,0.00%,25,1.20%,160,7.40%,552,0.26,0.33,140,6,1,420402
Census Tract 4205,"2,431","1,098",45.20%,72,3.00%,1,0.00%,709,29.20%,1,0.00%,25,1.00%,236,9.70%,289,0.12,0.45,140,6,1,420500
Census Tract 4206,"3,399","2,127",62.60%,51,1.50%,6,0.20%,626,18.40%,2,0.10%,30,0.90%,291,8.60%,266,0.08,0.63,140,6,1,420600
Census Tract 4211,"2,031","1,408",69.30%,45,2.20%,0,0.00%,279,13.70%,3,0.10%,20,1.00%,141,6.90%,135,0.07,0.69,140,6,1,421100
Census Tract 4212,"3,657","2,650",72.50%,58,1.60%,5,0.10%,376,10.30%,5,0.10%,25,0.70%,303,8.30%,235,0.06,0.72,140,6,1,421200
Census Tract 4213,"3,945","2,782",70.50%,71,1.80%,0,0.00%,463,11.70%,0,0.00%,27,0.70%,323,8.20%,279,0.07,0.71,140,6,1,421300
Census Tract 4214,"1,679","1,255",74.70%,18,1.10%,0,0.00%,168,10.00%,1,0.10%,16,1.00%,107,6.40%,114,0.07,0.75,140,6,1,421400
Census Tract 4215,"3,745","2,715",72.50%,45,1.20%,0,0.00%,406,10.80%,4,0.10%,25,0.70%,318,8.50%,232,0.06,0.73,140,6,1,421500
Census Tract 4216,"3,836","2,720",70.90%,102,2.70%,0,0.00%,431,11.20%,4,0.10%,46,1.20%,270,7.00%,263,0.07,0.71,140,6,1,421600
Census Tract 4217,"3,386","2,057",60.80%,95,2.80%,0,0.00%,659,19.50%,4,0.10%,15,0.40%,285,8.40%,271,0.08,0.61,140,6,1,421700
Census Tract 4218,"2,110","1,450",68.70%,57,2.70%,2,0.10%,252,11.90%,3,0.10%,17,0.80%,195,9.20%,134,0.06,0.69,140,6,1,421800
Census Tract 4219,"3,901","2,281",58.50%,258,6.60%,3,0.10%,601,15.40%,6,0.20%,31,0.80%,327,8.40%,394,0.1,0.58,140,6,1,421900
Census Tract 4220,"4,160","1,731",41.60%,779,18.70%,36,0.90%,527,12.70%,66,1.60%,58,1.40%,293,7.00%,670,0.16,0.42,140,6,1,422000
Census Tract 4221,"2,843","1,180",41.50%,313,11.00%,11,0.40%,343,12.10%,9,0.30%,37,1.30%,222,7.80%,728,0.26,0.42,140,6,1,422100
Census Tract 4222,"3,322","1,745",52.50%,256,7.70%,2,0.10%,560,16.90%,6,0.20%,51,1.50%,321,9.70%,381,0.12,0.53,140,6,1,422200
Census Tract 4223,"3,811","2,107",55.30%,214,5.60%,2,0.10%,794,20.80%,2,0.10%,31,0.80%,276,7.20%,385,0.1,0.55,140,6,1,422300
Census Tract 4224,"4,134","1,697",41.00%,222,5.40%,3,0.10%,"1,530",37.00%,7,0.20%,41,1.00%,264,6.40%,370,0.09,0.41,140,6,1,422400
Census Tract 4225,"5,065","2,404",47.50%,217,4.30%,7,0.10%,"1,398",27.60%,22,0.40%,48,0.90%,274,5.40%,695,0.14,0.47,140,6,1,422500
Census Tract 4227,"4,868","2,364",48.60%,117,2.40%,0,0.00%,"1,297",26.60%,2,0.00%,40,0.80%,420,8.60%,628,0.13,0.49,140,6,1,422700
Census Tract 4228,"11,245","3,050",27.10%,340,3.00%,7,0.10%,"4,175",37.10%,1,0.00%,23,0.20%,502,4.50%,"3,147",0.28,0.27,140,6,1,422800
Census Tract 4229.01,"2,322",713,30.70%,135,5.80%,5,0.20%,"1,054",45.40%,3,0.10%,12,0.50%,129,5.60%,271,0.12,0.31,140,6,1,422901
Census Tract 4229.02,"3,033",918,30.30%,404,13.30%,21,0.70%,"1,083",35.70%,15,0.50%,39,1.30%,172,5.70%,381,0.13,0.3,140,6,1,422902
Census Tract 4230,"4,676","2,629",56.20%,285,6.10%,14,0.30%,794,17.00%,8,0.20%,57,1.20%,371,7.90%,518,0.11,0.56,140,6,1,423000
Census Tract 4231,"4,335","2,081",48.00%,560,12.90%,15,0.30%,657,15.20%,12,0.30%,46,1.10%,341,7.90%,623,0.14,0.48,140,6,1,423100
Census Tract 4232,"2,886","1,022",35.40%,489,16.90%,10,0.30%,329,11.40%,8,0.30%,23,0.80%,187,6.50%,818,0.28,0.35,140,6,1,423200
Census Tract 4233,"3,738","1,674",44.80%,810,21.70%,2,0.10%,357,9.60%,7,0.20%,35,0.90%,302,8.10%,551,0.15,0.45,140,6,1,423300
Census Tract 4234,"5,057","2,239",44.30%,880,17.40%,8,0.20%,609,12.00%,6,0.10%,53,1.00%,424,8.40%,838,0.17,0.44,140,6,1,423400
Census Tract 4235,"3,474","1,701",49.00%,459,13.20%,13,0.40%,571,16.40%,3,0.10%,43,1.20%,272,7.80%,412,0.12,0.49,140,6,1,423500
Census Tract 4236.01,"2,824","1,747",61.90%,79,2.80%,6,0.20%,421,14.90%,6,0.20%,40,1.40%,237,8.40%,288,0.1,0.62,140,6,1,423601
Census Tract 4236.02,"5,615","2,141",38.10%,148,2.60%,12,0.20%,"2,141",38.10%,10,0.20%,52,0.90%,397,7.10%,714,0.13,0.38,140,6,1,423602
Census Tract 4237,"4,234","2,541",60.00%,143,3.40%,2,0.00%,692,16.30%,4,0.10%,21,0.50%,298,7.00%,533,0.13,0.6,140,6,1,423700
Census Tract 4238,"3,216","2,368",73.60%,60,1.90%,3,0.10%,318,9.90%,6,0.20%,16,0.50%,215,6.70%,230,0.07,0.74,140,6,1,423800
Census Tract 4239.01,"2,031","1,088",53.60%,260,12.80%,4,0.20%,202,9.90%,1,0.00%,18,0.90%,157,7.70%,301,0.15,0.54,140,6,1,423901
Census Tract 4239.02,"1,464",989,67.60%,54,3.70%,3,0.20%,169,11.50%,0,0.00%,10,0.70%,111,7.60%,128,0.09,0.68,140,6,1,423902
Census Tract 4240.01,"4,146","1,668",40.20%,823,19.90%,23,0.60%,447,10.80%,11,0.30%,47,1.10%,364,8.80%,763,0.18,0.4,140,6,1,424001
Census Tract 4240.02,"2,488",899,36.10%,632,25.40%,7,0.30%,290,11.70%,8,0.30%,35,1.40%,192,7.70%,425,0.17,0.36,140,6,1,424002
