Summary Level,State code,County Code,Place code,Place Type,Census Tract ,Description of area,Total Population,Total Population: Hispanic or Latino,"Total Population: White alone, not Hispanic or Latino","Total Population: Black or African American alone, not Hispanic or Latino","Total Population: American Indian and Alaska Native alone, not Hispanic or Latino","Total Population: Asian alone, not Hispanic or Latino","Total Population: Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino","Total Population: Some Other Race alone, not Hispanic or Latino","Total Population: Two or More Races, not Hispanic or Latino",Total Housing Units,Occupied Housing Units,Vacant Housing Units
155,06,055,53196,U1,,Oakville CDP,71,45,22,0,1,1,1,0,1,44,27,17
155,06,055,63400,U1,,Rutherford CDP,164,70,92,0,0,0,0,0,2,94,71,23
155,06,055,64140,C1,,St. Helena city,5814,1914,3686,14,13,96,8,13,70,2776,2401,375
155,06,055,71927,U2,,Silverado Resort CDP,1095,59,982,1,1,36,4,0,12,1272,540,732
155,06,055,86930,C1,,Yountville city,2933,289,2465,36,18,48,0,6,71,1252,1050,202
050,06,057,,,,Nevada County,98764,8439,85477,341,793,1124,96,122,2372,52590,41527,11063
140,06,057,,,000102,Census Tract 1.02,6677,466,5922,17,35,71,9,12,145,2932,2741,191
140,06,057,,,000103,Census Tract 1.03,7893,461,7084,20,54,85,6,9,174,3447,3065,382
140,06,057,,,000104,Census Tract 1.04,3190,192,2861,6,25,21,3,1,81,1653,1510,143
140,06,057,,,000105,Census Tract 1.05,2792,159,2507,21,29,16,1,4,55,1227,1115,112
140,06,057,,,000200,Census Tract 2,2700,151,2419,9,28,19,1,7,66,1163,1067,96
140,06,057,,,000300,Census Tract 3,2353,115,2108,11,22,16,5,5,71,1045,964,81
140,06,057,,,000401,Census Tract 4.01,5744,310,5209,15,41,57,10,5,97,2984,2525,459
140,06,057,,,000402,Census Tract 4.02,6926,507,5980,21,92,86,14,5,221,3055,2802,253
140,06,057,,,000501,Census Tract 5.01,6034,556,5156,12,69,73,0,5,163,3013,2730,283
140,06,057,,,000502,Census Tract 5.02,4664,390,4006,7,55,80,1,2,123,2271,2047,224
140,06,057,,,000600,Census Tract 6,6237,626,5189,26,70,94,7,9,216,3195,2943,252
140,06,057,,,000701,Census Tract 7.01,7436,390,6727,25,49,68,9,15,153,3531,3091,440
140,06,057,,,000702,Census Tract 7.02,3968,231,3538,9,38,42,2,3,105,1885,1702,183
140,06,057,,,000801,Census Tract 8.01,4888,244,4405,30,43,44,7,6,109,2397,2073,324
140,06,057,,,000802,Census Tract 8.02,6528,386,5803,34,40,78,4,14,169,3160,2873,287
140,06,057,,,000900,Census Tract 9,4348,234,3802,24,51,47,5,5,180,2696,1846,850
140,06,057,,,001203,Census Tract 12.03,2927,223,2604,3,5,56,0,1,35,3925,1253,2672
140,06,057,,,001204,Census Tract 12.04,2832,211,2476,14,10,58,3,5,55,4044,1236,2808
140,06,057,,,001205,Census Tract 12.05,4537,231,4141,11,18,49,7,0,80,2083,1699,384
140,06,057,,,001206,Census Tract 12.06,6090,2356,3540,26,19,64,2,9,74,2884,2245,639
155,06,057,01360,U1,,Alta Sierra CDP,6911,488,6128,17,36,71,9,12,150,3030,2830,200
155,06,057,24526,U1,,Floriston CDP,73,0,67,0,4,0,0,0,2,43,38,5
155,06,057,30714,U1,,Graniteville CDP,11,0,11,0,0,0,0,0,0,36,8,28
155,06,057,30798,C1,,Grass Valley city,12860,1341,10764,36,148,185,9,12,365,6637,6077,560
155,06,057,39690,U1,,Lake of the Pines CDP,3917,246,3498,5,16,57,6,2,87,1768,1567,201
155,06,057,39885,U1,,Lake Wildwood CDP,4991,272,4526,14,38,51,10,3,77,2641,2225,416
155,06,057,50874,C1,,Nevada City city,3068,205,2680,26,27,45,0,6,79,1510,1356,154
155,06,057,52246,U1,,North San Juan CDP,269,9,221,1,8,11,0,0,19,146,130,16
155,06,057,56518,U1,,Penn Valley CDP,1621,143,1351,9,22,20,0,2,74,666,628,38
155,06,057,63106,U1,,Rough and Ready CDP,963,56,844,3,6,16,6,0,32,477,428,49
155,06,057,72492,U1,,Soda Springs CDP,81,7,74,0,0,0,0,0,0,136,41,95
155,06,057,80588,C1,,Truckee town,16180,3016,12568,53,52,225,12,15,239,12803,6343,6460
155,06,057,83570,U1,,Washington CDP,185,11,161,1,4,0,0,0,8,131,90,41
050,06,059,,,,Orange County,3010232,1012973,1328499,44000,6216,532477,8357,5593,72117,1048907,992781,56126
140,06,059,,,001101,Census Tract 11.01,4523,2072,2118,52,15,192,2,3,69,1529,1467,62
140,06,059,,,001102,Census Tract 11.02,3144,1452,1299,23,19,286,2,6,57,1099,1063,36
140,06,059,,,001103,Census Tract 11.03,4489,2753,1375,58,14,216,8,4,61,1474,1384,90
140,06,059,,,001201,Census Tract 12.01,5505,4439,690,96,12,193,2,14,59,1476,1412,64
140,06,059,,,001202,Census Tract 12.02,3586,2868,522,38,1,127,1,2,27,947,912,35
140,06,059,,,001301,Census Tract 13.01,6423,2668,2726,153,10,695,15,12,144,2635,2489,146
140,06,059,,,001303,Census Tract 13.03,5752,3643,1371,71,11,541,0,13,102,1909,1821,88
140,06,059,,,001304,Census Tract 13.04,3803,2879,742,34,4,103,4,2,35,1168,1101,67
140,06,059,,,001401,Census Tract 14.01,5013,2871,1792,69,13,185,7,2,74,1881,1697,184
140,06,059,,,001402,Census Tract 14.02,5185,3009,1784,35,21,236,10,9,81,1600,1545,55
140,06,059,,,001403,Census Tract 14.03,3239,1025,1905,18,11,201,4,2,73,1088,1064,24
140,06,059,,,001404,Census Tract 14.04,3972,3050,692,35,10,132,9,3,41,1065,1000,65
140,06,059,,,001501,Census Tract 15.01,6373,1259,3785,40,15,1149,5,3,117,2491,2407,84
140,06,059,,,001503,Census Tract 15.03,5099,1686,2836,58,17,363,8,14,117,1792,1744,48
140,06,059,,,001504,Census Tract 15.04,4605,1833,1905,77,10,638,20,6,116,1812,1713,99
140,06,059,,,001505,Census Tract 15.05,6876,1429,3875,98,16,1273,13,14,158,2486,2409,77
140,06,059,,,001506,Census Tract 15.06,4109,793,2465,30,9,698,2,4,108,1627,1583,44
140,06,059,,,001507,Census Tract 15.07,4665,1194,2288,88,14,915,7,18,141,1993,1902,91
140,06,059,,,001601,Census Tract 16.01,7989,1862,4507,119,12,1282,6,14,187,2956,2842,114
140,06,059,,,001602,Census Tract 16.02,4687,575,2865,46,10,1051,6,5,129,1883,1829,54
140,06,059,,,001704,Census Tract 17.04,7451,640,1482,78,1,5077,8,8,157,2380,2311,69
140,06,059,,,001705,Census Tract 17.05,4343,1734,1529,93,10,839,9,7,122,1509,1468,41
140,06,059,,,001706,Census Tract 17.06,3869,386,2340,58,3,945,8,5,124,1444,1386,58
140,06,059,,,001707,Census Tract 17.07,7482,816,1556,138,4,4791,10,22,145,2569,2511,58
140,06,059,,,001708,Census Tract 17.08,3786,749,1456,55,5,1423,7,10,81,1324,1295,29
140,06,059,,,001801,Census Tract 18.01,5544,3255,1142,241,16,750,41,11,88,1603,1544,59
140,06,059,,,001802,Census Tract 18.02,7154,4360,1638,243,19,766,23,11,94,2228,2067,161
140,06,059,,,001901,Census Tract 19.01,2810,1417,939,36,12,343,5,5,53,809,788,21
140,06,059,,,001902,Census Tract 19.02,2967,1306,1111,46,2,423,11,5,63,807,786,21
140,06,059,,,001903,Census Tract 19.03,3418,1739,1027,56,12,511,0,8,65,947,911,36
140,06,059,,,011000,Census Tract 110,6626,2141,3371,123,16,763,14,23,175,2493,2363,130
140,06,059,,,011101,Census Tract 111.01,4140,2196,1375,83,5,389,5,14,73,1298,1240,58
140,06,059,,,011102,Census Tract 111.02,4356,2292,1271,90,17,599,9,2,76,1167,1123,44
140,06,059,,,011200,Census Tract 112,3916,1215,2203,55,10,330,2,10,91,1654,1570,84
140,06,059,,,011300,Census Tract 113,4379,888,2655,91,10,609,9,8,109,2092,1996,96
140,06,059,,,011401,Census Tract 114.01,1982,461,1316,35,4,107,8,3,48,780,738,42
140,06,059,,,011402,Census Tract 114.02,2325,458,1575,20,2,200,2,1,67,869,851,18
140,06,059,,,011403,Census Tract 114.03,5565,2668,2149,107,14,497,10,8,112,2036,1910,126
140,06,059,,,011502,Census Tract 115.02,4101,1845,1456,76,9,615,11,3,86,1476,1403,73
140,06,059,,,011503,Census Tract 115.03,1727,254,1092,24,2,305,2,4,44,575,559,16
140,06,059,,,011504,Census Tract 115.04,5473,1391,2245,273,17,1299,16,6,226,2279,2082,197
140,06,059,,,011601,Census Tract 116.01,7955,5867,1195,177,14,571,29,16,86,2316,2177,139
140,06,059,,,011602,Census Tract 116.02,5237,4132,775,91,7,189,8,5,30,1506,1418,88
140,06,059,,,011707,Census Tract 117.07,6045,1025,3209,139,8,1498,8,9,149,2469,2350,119
140,06,059,,,011708,Census Tract 117.08,4317,1166,2136,154,10,707,17,6,121,2023,1728,295
140,06,059,,,011709,Census Tract 117.09,4355,691,3091,57,5,423,1,4,83,1483,1464,19
140,06,059,,,011710,Census Tract 117.10,3442,564,2260,54,2,491,3,4,64,1259,1206,53
140,06,059,,,011711,Census Tract 117.11,7305,3554,2310,211,19,1004,12,17,178,2831,2655,176
140,06,059,,,011712,Census Tract 117.12,4865,2477,1465,111,8,683,4,28,89,1603,1547,56
140,06,059,,,011714,Census Tract 117.14,499,354,95,10,0,34,0,0,6,397,166,231
140,06,059,,,011715,Census Tract 117.15,6369,1066,4159,72,21,865,7,5,174,2463,2424,39
140,06,059,,,011716,Census Tract 117.16,5410,1423,1954,102,6,1802,5,8,110,1664,1615,49
140,06,059,,,011717,Census Tract 117.17,2746,541,1836,42,2,220,7,3,95,938,924,14
140,06,059,,,011718,Census Tract 117.18,3263,661,2180,45,5,304,5,7,56,1108,1074,34
140,06,059,,,011720,Census Tract 117.20,7329,6667,327,88,23,179,8,3,34,1504,1422,82
140,06,059,,,011721,Census Tract 117.21,5023,3569,961,102,9,279,10,12,81,1603,1514,89
140,06,059,,,011722,Census Tract 117.22,2363,664,1183,68,12,404,1,0,31,1066,1040,26
140,06,059,,,021802,Census Tract 218.02,7091,1454,4751,132,18,515,13,23,185,2672,2549,123
140,06,059,,,021807,Census Tract 218.07,4131,1070,2434,91,11,426,7,9,83,1370,1342,28
140,06,059,,,021809,Census Tract 218.09,2902,461,2127,35,4,205,0,5,65,1065,1036,29
140,06,059,,,021810,Census Tract 218.10,3627,689,2477,63,10,288,6,5,89,1215,1200,15
140,06,059,,,021812,Census Tract 218.12,6339,1691,3568,148,22,731,6,14,159,2224,2158,66
140,06,059,,,021813,Census Tract 218.13,25,5,11,0,0,9,0,0,0,11,10,1
140,06,059,,,021814,Census Tract 218.14,6816,1291,3710,101,7,1491,8,23,185,2598,2511,87
140,06,059,,,021815,Census Tract 218.15,7751,1035,3773,109,21,2592,10,10,201,2664,2577,87
140,06,059,,,021816,Census Tract 218.16,4833,743,3578,37,11,346,2,6,110,1775,1734,41
140,06,059,,,021817,Census Tract 218.17,3479,578,2425,44,2,306,6,12,106,1280,1237,43
140,06,059,,,021820,Census Tract 218.20,4258,635,2491,49,15,965,0,7,96,1428,1389,39
140,06,059,,,021821,Census Tract 218.21,6582,1907,2764,173,28,1516,8,10,176,2424,2333,91
140,06,059,,,021822,Census Tract 218.22,7488,932,4350,93,19,1861,6,7,220,2499,2352,147
140,06,059,,,021823,Census Tract 218.23,3299,516,2236,38,8,398,2,9,92,1079,1059,20
140,06,059,,,021824,Census Tract 218.24,2678,324,1911,25,8,352,1,8,49,864,852,12
140,06,059,,,021825,Census Tract 218.25,3107,357,2173,44,4,433,6,15,75,1115,1086,29
140,06,059,,,021826,Census Tract 218.26,2682,451,1702,33,2,372,6,19,97,1092,1030,62
140,06,059,,,021827,Census Tract 218.27,3028,413,1871,42,3,599,1,2,97,1069,991,78
140,06,059,,,021828,Census Tract 218.28,4362,528,2651,77,3,927,2,1,173,1318,1300,18
140,06,059,,,021829,Census Tract 218.29,5329,556,3537,60,4,1049,7,22,94,1791,1765,26
140,06,059,,,021830,Census Tract 218.30,5862,700,4070,45,9,834,10,10,184,2039,2005,34
140,06,059,,,021903,Census Tract 219.03,4034,1179,1967,69,7,669,22,11,110,1216,1198,18
140,06,059,,,021905,Census Tract 219.05,5485,1085,3226,123,7,828,3,13,200,1800,1778,22
140,06,059,,,021912,Census Tract 219.12,4828,548,3217,24,10,885,4,15,125,1581,1556,25
140,06,059,,,021913,Census Tract 219.13,8140,5173,1956,54,22,795,10,15,115,1964,1916,48
140,06,059,,,021914,Census Tract 219.14,4218,1638,2107,32,12,348,4,11,66,1413,1357,56
140,06,059,,,021915,Census Tract 219.15,3985,567,2430,46,2,799,0,4,137,1494,1458,36
140,06,059,,,021916,Census Tract 219.16,3529,364,2372,47,9,628,2,12,95,1454,1403,51
140,06,059,,,021917,Census Tract 219.17,3435,409,2645,16,5,269,4,9,78,1207,1169,38
140,06,059,,,021918,Census Tract 219.18,5067,1270,2868,48,12,747,10,10,102,1830,1781,49
140,06,059,,,021919,Census Tract 219.19,2662,348,1792,51,6,361,7,6,91,973,942,31
140,06,059,,,021920,Census Tract 219.20,6892,899,4279,103,6,1330,6,21,248,2544,2487,57
140,06,059,,,021921,Census Tract 219.21,4496,527,2812,59,10,949,4,10,125,1437,1404,33
140,06,059,,,021922,Census Tract 219.22,4834,711,2947,86,8,882,4,9,187,2333,2243,90
140,06,059,,,021923,Census Tract 219.23,6643,969,3796,130,16,1459,5,16,252,2420,2359,61
140,06,059,,,021924,Census Tract 219.24,4192,621,2185,80,6,1131,1,11,157,1424,1359,65
140,06,059,,,032002,Census Tract 320.02,6210,988,4567,79,9,398,13,8,148,2078,2041,37
140,06,059,,,032003,Census Tract 320.03,4852,702,3670,21,8,318,3,6,124,1583,1564,19
140,06,059,,,032011,Census Tract 320.11,1606,119,1396,3,10,27,2,5,44,753,691,62
140,06,059,,,032012,Census Tract 320.12,3626,487,2794,54,4,164,7,12,104,1290,1259,31
140,06,059,,,032013,Census Tract 320.13,4984,803,3563,98,3,291,4,12,210,2136,2048,88
140,06,059,,,032014,Census Tract 320.14,6323,3290,2278,61,12,528,12,26,116,2070,1929,141
140,06,059,,,032015,Census Tract 320.15,6548,1338,4131,96,15,738,12,14,204,1959,1921,38
140,06,059,,,032020,Census Tract 320.20,5715,963,4060,57,10,396,15,3,211,1910,1877,33
140,06,059,,,032022,Census Tract 320.22,6833,3132,2961,103,16,418,13,12,178,2404,2224,180
140,06,059,,,032023,Census Tract 320.23,13544,1712,10580,89,43,710,8,20,382,4548,4371,177
140,06,059,,,032027,Census Tract 320.27,6328,2468,2747,63,23,831,6,15,175,2045,1957,88
140,06,059,,,032028,Census Tract 320.28,3102,900,1708,51,5,322,4,9,103,1321,1251,70
140,06,059,,,032029,Census Tract 320.29,4328,988,2635,46,10,471,14,4,160,1451,1416,35
140,06,059,,,032030,Census Tract 320.30,3819,829,2475,44,11,332,8,3,117,1289,1267,22
140,06,059,,,032031,Census Tract 320.31,3654,614,2543,36,12,300,2,10,137,1171,1155,16
140,06,059,,,032032,Census Tract 320.32,3075,503,2180,18,3,236,2,6,127,1035,1012,23
140,06,059,,,032033,Census Tract 320.33,3624,795,2180,67,2,415,15,11,139,1499,1449,50
140,06,059,,,032034,Census Tract 320.34,5898,545,4436,77,15,589,8,19,209,1848,1826,22
140,06,059,,,032035,Census Tract 320.35,2373,212,1908,27,3,141,1,1,80,1058,997,61
140,06,059,,,032036,Census Tract 320.36,3539,568,2532,21,9,274,7,6,122,1311,1278,33
140,06,059,,,032037,Census Tract 320.37,4929,313,4087,50,9,348,3,6,113,2610,2504,106
140,06,059,,,032038,Census Tract 320.38,6602,690,4444,49,4,1084,17,29,285,2130,2092,38
140,06,059,,,032039,Census Tract 320.39,6696,1350,4301,53,9,691,10,5,277,2228,2180,48
140,06,059,,,032040,Census Tract 320.40,2612,251,2002,22,2,251,0,3,81,885,875,10
140,06,059,,,032041,Census Tract 320.41,1022,161,771,8,6,47,0,4,25,420,345,75
140,06,059,,,032042,Census Tract 320.42,5796,633,4564,72,11,302,10,15,189,1816,1779,37
140,06,059,,,032043,Census Tract 320.43,3987,340,3182,36,2,307,4,4,112,1250,1227,23
140,06,059,,,032044,Census Tract 320.44,5760,389,4901,39,14,269,3,17,128,2011,1953,58
140,06,059,,,032045,Census Tract 320.45,2978,348,2279,14,0,206,7,7,117,938,915,23
140,06,059,,,032046,Census Tract 320.46,6005,414,4952,67,9,380,9,6,168,1872,1836,36
140,06,059,,,032047,Census Tract 320.47,3652,745,2314,119,24,301,0,18,131,1738,1669,69
140,06,059,,,032048,Census Tract 320.48,5590,756,3995,79,3,576,2,5,174,2249,2191,58
140,06,059,,,032049,Census Tract 320.49,9368,1218,6396,154,20,1189,17,19,355,3073,2989,84
140,06,059,,,032050,Census Tract 320.50,4906,992,3267,64,11,375,19,16,162,1744,1688,56
140,06,059,,,032051,Census Tract 320.51,4580,1422,2537,98,10,354,9,13,137,2027,1916,111
140,06,059,,,032053,Census Tract 320.53,7976,1367,5377,166,18,724,8,14,302,3068,2957,111
140,06,059,,,032054,Census Tract 320.54,5288,1305,3224,105,13,467,12,4,158,2391,2268,123
140,06,059,,,032055,Census Tract 320.55,3884,1325,2028,66,6,340,5,8,106,1442,1372,70
140,06,059,,,032056,Census Tract 320.56,7072,972,4848,99,7,844,21,11,270,2326,2265,61
140,06,059,,,032057,Census Tract 320.57,7218,899,5112,103,8,798,8,5,285,2381,2281,100
140,06,059,,,032058,Census Tract 320.58,7312,834,5188,105,6,876,9,10,284,2253,2163,90
140,06,059,,,032059,Census Tract 320.59,7975,1160,5279,97,19,1023,9,16,372,2483,2399,84
140,06,059,,,032061,Census Tract 320.61,3349,250,2805,26,6,197,5,1,59,1355,1281,74
140,06,059,,,042103,Census Tract 421.03,7418,1007,6087,24,8,137,6,5,144,3360,2970,390
140,06,059,,,042106,Census Tract 421.06,1377,75,1228,4,11,23,2,2,32,818,617,201
140,06,059,,,042107,Census Tract 421.07,4254,2015,2014,20,12,98,5,8,82,1513,1418,95
140,06,059,,,042108,Census Tract 421.08,5697,1559,3806,31,29,111,14,4,143,3091,2562,529
140,06,059,,,042109,Census Tract 421.09,4865,695,3674,37,12,261,11,16,159,2138,2018,120
140,06,059,,,042111,Census Tract 421.11,5994,545,5106,32,11,176,7,6,111,2188,2127,61
140,06,059,,,042112,Census Tract 421.12,6858,889,5298,48,12,356,6,13,236,2308,2237,71
140,06,059,,,042113,Census Tract 421.13,4364,463,3612,18,29,138,3,3,98,1839,1750,89
140,06,059,,,042114,Census Tract 421.14,3718,652,2818,31,21,97,8,12,79,1698,1536,162
140,06,059,,,042201,Census Tract 422.01,5639,1133,4165,28,24,136,13,8,132,2722,2343,379
140,06,059,,,042203,Census Tract 422.03,7015,857,5636,41,13,259,9,10,190,3030,2890,140
140,06,059,,,042205,Census Tract 422.05,6780,1361,4985,29,9,216,7,3,170,2545,2428,117
140,06,059,,,042206,Census Tract 422.06,3287,384,2742,10,9,82,0,3,57,1536,1434,102
140,06,059,,,042305,Census Tract 423.05,3432,189,3060,12,2,94,3,1,71,1886,1493,393
140,06,059,,,042307,Census Tract 423.07,6900,1549,4118,85,6,924,11,12,195,2252,2127,125
140,06,059,,,042310,Census Tract 423.10,8391,2987,4953,36,40,178,7,16,174,3178,2996,182
140,06,059,,,042311,Census Tract 423.11,5996,1132,4469,23,25,223,4,9,111,2300,2203,97
140,06,059,,,042312,Census Tract 423.12,9085,6646,2110,33,77,149,3,7,60,2381,2256,125
140,06,059,,,042313,Census Tract 423.13,6471,1996,4127,45,28,138,13,23,101,3107,2814,293
140,06,059,,,042315,Census Tract 423.15,5900,896,4278,80,6,424,8,12,196,2356,2258,98
140,06,059,,,042317,Census Tract 423.17,3331,229,2813,23,14,182,1,7,62,1369,1301,68
140,06,059,,,042319,Census Tract 423.19,3334,311,2502,43,2,364,2,5,105,1144,1124,20
140,06,059,,,042320,Census Tract 423.20,5665,1488,3206,153,11,620,11,15,161,2587,2474,113
140,06,059,,,042323,Census Tract 423.23,4512,340,3851,39,16,159,2,8,97,2713,2220,493
140,06,059,,,042324,Census Tract 423.24,4241,299,3580,38,15,223,2,7,77,2376,2123,253
140,06,059,,,042325,Census Tract 423.25,3375,298,2580,41,8,288,5,13,142,1538,1429,109
140,06,059,,,042326,Census Tract 423.26,4608,711,3232,74,17,351,8,7,208,1819,1762,57
140,06,059,,,042327,Census Tract 423.27,4814,580,3419,68,10,503,8,2,224,1716,1686,30
140,06,059,,,042328,Census Tract 423.28,2524,150,1988,17,7,244,1,13,104,824,799,25
140,06,059,,,042329,Census Tract 423.29,3772,377,3045,30,4,214,5,4,93,1416,1385,31
140,06,059,,,042330,Census Tract 423.30,6378,1786,3826,88,7,455,11,10,195,2208,2132,76
140,06,059,,,042331,Census Tract 423.31,5215,967,3601,43,15,379,8,17,185,2114,2050,64
140,06,059,,,042332,Census Tract 423.32,5399,375,4460,38,2,385,1,7,131,2317,2179,138
140,06,059,,,042333,Census Tract 423.33,4014,266,3042,37,0,518,3,9,139,1411,1345,66
140,06,059,,,042334,Census Tract 423.34,5300,998,3411,59,13,582,15,3,219,2245,2168,77
140,06,059,,,042335,Census Tract 423.35,5829,874,3690,74,6,889,6,8,282,2424,2299,125
140,06,059,,,042336,Census Tract 423.36,4430,458,3272,39,4,461,4,8,184,1573,1536,37
140,06,059,,,042337,Census Tract 423.37,3639,340,2853,42,8,276,3,12,105,1394,1343,51
140,06,059,,,042338,Census Tract 423.38,4580,449,3806,34,6,171,4,9,101,2045,1900,145
140,06,059,,,042339,Census Tract 423.39,3208,634,2345,40,6,100,6,5,72,1505,1380,125
140,06,059,,,052404,Census Tract 524.04,549,309,177,22,1,35,2,2,1,16,13,3
140,06,059,,,052408,Census Tract 524.08,6154,755,4416,120,11,648,10,15,179,2155,2118,37
140,06,059,,,052410,Census Tract 524.10,5403,1574,2886,75,19,704,18,8,119,2139,2044,95
140,06,059,,,052411,Census Tract 524.11,5182,2311,2038,52,16,622,20,12,111,1337,1311,26
140,06,059,,,052415,Census Tract 524.15,3944,510,2913,42,6,351,3,5,114,1294,1275,19
140,06,059,,,052416,Census Tract 524.16,4006,1281,2080,59,24,463,6,7,86,1271,1231,40
140,06,059,,,052417,Census Tract 524.17,6771,471,3405,68,6,2501,11,25,284,2420,2339,81
140,06,059,,,052418,Census Tract 524.18,12096,1378,4302,318,8,5426,15,23,626,5055,4768,287
140,06,059,,,052419,Census Tract 524.19,3456,254,1822,21,5,1209,4,7,134,1145,1131,14
140,06,059,,,052420,Census Tract 524.20,21098,1679,7728,281,10,10440,22,33,905,7084,6871,213
140,06,059,,,052421,Census Tract 524.21,5111,443,2947,68,4,1453,7,12,177,1966,1901,65
140,06,059,,,052422,Census Tract 524.22,4165,635,2587,87,5,673,3,20,155,1496,1461,35
140,06,059,,,052423,Census Tract 524.23,5545,1364,2957,116,7,898,25,10,168,2131,2061,70
140,06,059,,,052424,Census Tract 524.24,5015,1176,2909,98,23,649,10,10,140,1929,1856,73
140,06,059,,,052425,Census Tract 524.25,5865,1306,3344,120,9,851,20,18,197,2361,2286,75
140,06,059,,,052426,Census Tract 524.26,7957,925,4458,117,14,2083,10,25,325,3210,3049,161
140,06,059,,,052427,Census Tract 524.27,5119,691,3045,59,19,1054,10,8,233,1742,1667,75
140,06,059,,,052428,Census Tract 524.28,6217,840,4419,74,11,587,11,10,265,2181,2139,42
140,06,059,,,052502,Census Tract 525.02,5913,1424,3052,84,2,1179,11,13,148,2001,1969,32
140,06,059,,,052505,Census Tract 525.05,4916,653,2233,96,5,1737,18,18,156,2042,1922,120
140,06,059,,,052506,Census Tract 525.06,2490,213,1566,40,1,583,5,3,79,831,821,10
140,06,059,,,052511,Census Tract 525.11,5672,383,3567,56,4,1396,8,24,234,2229,2163,66
140,06,059,,,052513,Census Tract 525.13,5675,649,3225,66,10,1496,6,22,201,2371,2274,97
140,06,059,,,052514,Census Tract 525.14,5327,471,2857,85,6,1543,4,13,348,2157,2072,85
140,06,059,,,052515,Census Tract 525.15,8833,777,2922,94,10,4639,10,9,372,3217,3079,138
140,06,059,,,052517,Census Tract 525.17,10096,806,4187,151,9,4434,26,26,457,4247,4057,190
140,06,059,,,052518,Census Tract 525.18,2688,265,1629,72,5,565,4,4,144,2199,1632,567
140,06,059,,,052519,Census Tract 525.19,4212,480,2161,68,8,1227,11,13,244,1624,1560,64
140,06,059,,,052520,Census Tract 525.20,3460,283,2092,52,2,874,2,9,146,1336,1308,28
140,06,059,,,052521,Census Tract 525.21,5391,732,2019,200,8,2032,7,13,380,2378,2247,131
140,06,059,,,052522,Census Tract 525.22,4123,337,1575,82,5,1918,7,9,190,1448,1394,54
140,06,059,,,052523,Census Tract 525.23,4175,374,1794,51,1,1734,3,17,201,1555,1467,88
140,06,059,,,052524,Census Tract 525.24,7952,1676,3594,189,9,2110,14,16,344,3100,2980,120
140,06,059,,,052525,Census Tract 525.25,15473,1371,6145,279,14,6855,28,30,751,6104,5890,214
140,06,059,,,052526,Census Tract 525.26,4355,589,1863,72,7,1646,3,11,164,1365,1345,20
140,06,059,,,052527,Census Tract 525.27,8391,805,3270,169,9,3700,6,31,401,2750,2676,74
140,06,059,,,052528,Census Tract 525.28,3469,304,1601,59,2,1350,8,11,134,1251,1217,34
140,06,059,,,062604,Census Tract 626.04,15174,926,8758,106,16,4746,14,34,574,6714,6053,661
140,06,059,,,062605,Census Tract 626.05,3094,286,2636,15,9,63,3,13,69,2193,1791,402
140,06,059,,,062610,Census Tract 626.10,6393,600,3472,171,10,1807,6,9,318,4765,3701,1064
140,06,059,,,062611,Census Tract 626.11,4105,460,1724,98,6,1607,13,8,189,1816,1683,133
140,06,059,,,062612,Census Tract 626.12,8186,563,4631,91,5,2473,10,32,381,3116,2998,118
140,06,059,,,062614,Census Tract 626.14,14044,1719,5182,231,13,6143,8,62,686,3713,3652,61
140,06,059,,,062619,Census Tract 626.19,3885,208,3413,28,7,113,1,10,105,2014,1744,270
140,06,059,,,062620,Census Tract 626.20,5065,347,4365,30,3,183,3,6,128,2694,2305,389
140,06,059,,,062621,Census Tract 626.21,4800,929,3010,74,14,583,11,8,171,1918,1824,94
140,06,059,,,062622,Census Tract 626.22,4072,328,3110,45,8,492,4,8,77,3006,2648,358
140,06,059,,,062625,Census Tract 626.25,4381,1667,2180,30,4,393,2,13,92,2119,1934,185
140,06,059,,,062626,Census Tract 626.26,2773,266,956,51,1,1367,5,4,123,1066,1024,42
140,06,059,,,062627,Census Tract 626.27,3308,271,1500,47,2,1328,2,7,151,1599,1491,108
140,06,059,,,062628,Census Tract 626.28,3581,256,1795,61,5,1315,4,4,141,990,940,50
140,06,059,,,062629,Census Tract 626.29,2660,102,1624,12,1,812,0,6,103,915,895,20
140,06,059,,,062630,Census Tract 626.30,1722,67,1145,2,0,452,1,6,49,774,745,29
140,06,059,,,062631,Census Tract 626.31,3303,116,2193,20,4,798,1,6,165,1275,1240,35
140,06,059,,,062632,Census Tract 626.32,3979,254,3385,43,4,179,2,13,99,2140,1802,338
140,06,059,,,062633,Census Tract 626.33,6545,673,4279,61,8,1192,8,19,305,1897,1864,33
140,06,059,,,062634,Census Tract 626.34,5466,689,3697,106,10,736,7,13,208,2037,1978,59
140,06,059,,,062635,Census Tract 626.35,4039,518,2714,53,5,539,11,15,184,1682,1630,52
140,06,059,,,062636,Census Tract 626.36,3690,645,2120,102,7,597,7,13,199,1521,1454,67
140,06,059,,,062637,Census Tract 626.37,4525,742,2884,112,16,583,6,8,174,2181,2066,115
140,06,059,,,062638,Census Tract 626.38,6161,965,3642,87,8,1135,9,23,292,2476,2406,70
140,06,059,,,062639,Census Tract 626.39,6996,921,4509,147,12,1055,8,19,325,2718,2635,83
140,06,059,,,062640,Census Tract 626.40,3407,465,2295,61,6,422,14,14,130,1669,1599,70
