State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),Hispanic Percent of Total,Summary level,State,County,Census Tract,,,,
Census Tract 4010,"6,097","2,188",35.9%,"1,829",30.0%,13,0.2%,566,9.3%,32,0.5%,49,0.8%,443,7.3%,977,16.0%,140,06,001,401000,,,,
Census Tract 4011,"4,966","2,257",45.4%,921,18.5%,35,0.7%,634,12.8%,20,0.4%,43,0.9%,355,7.1%,701,14.1%,140,06,001,401100,,,,
Census Tract 4012,"2,989","1,654",55.3%,288,9.6%,5,0.2%,357,11.9%,16,0.5%,16,0.5%,265,8.9%,388,13.0%,140,06,001,401200,,,,
Census Tract 4013,"5,887","1,945",33.0%,"1,215",20.6%,55,0.9%,"1,029",17.5%,113,1.9%,44,0.7%,365,6.2%,"1,121",19.0%,140,06,001,401300,,,,
Census Tract 4014,"5,355","1,426",26.6%,"1,578",29.5%,42,0.8%,575,10.7%,46,0.9%,47,0.9%,358,6.7%,"1,283",24.0%,140,06,001,401400,,,,
Census Tract 4015,"2,661",819,30.8%,946,35.6%,2,0.1%,188,7.1%,4,0.2%,27,1.0%,201,7.6%,474,17.8%,140,06,001,401500,,,,
Census Tract 4016,"2,971",801,27.0%,793,26.7%,22,0.7%,283,9.5%,38,1.3%,43,1.4%,200,6.7%,791,26.6%,140,06,001,401600,,,,
Census Tract 4017,"6,121","1,861",30.4%,"1,265",20.7%,40,0.7%,776,12.7%,117,1.9%,47,0.8%,430,7.0%,"1,585",25.9%,140,06,001,401700,,,,
Census Tract 4018,"1,981",496,25.0%,822,41.5%,8,0.4%,96,4.8%,8,0.4%,26,1.3%,122,6.2%,403,20.3%,140,06,001,401800,,,,
Census Tract 4022,"3,250",879,27.0%,841,25.9%,15,0.5%,341,10.5%,42,1.3%,26,0.8%,182,5.6%,924,28.4%,140,06,001,402200,,,,
Census Tract 4024,"2,459",553,22.5%,971,39.5%,6,0.2%,397,16.1%,5,0.2%,20,0.8%,148,6.0%,359,14.6%,140,06,001,402400,,,,
Census Tract 4025,"2,010",402,20.0%,"1,014",50.4%,2,0.1%,204,10.1%,10,0.5%,37,1.8%,172,8.6%,169,8.4%,140,06,001,402500,,,,
Census Tract 4026,"1,226",214,17.5%,324,26.4%,4,0.3%,505,41.2%,4,0.3%,3,0.2%,59,4.8%,113,9.2%,140,06,001,402600,,,,
Census Tract 4027,"1,827",414,22.7%,732,40.1%,2,0.1%,180,9.9%,7,0.4%,26,1.4%,102,5.6%,364,19.9%,140,06,001,402700,,,,
Census Tract 4028.01,"2,941",725,24.7%,"1,005",34.2%,2,0.1%,754,25.6%,2,0.1%,13,0.4%,173,5.9%,267,9.1%,140,06,001,402801,,,,
Census Tract 4028.02,"1,453",311,21.4%,565,38.9%,14,1.0%,281,19.3%,20,1.4%,7,0.5%,90,6.2%,165,11.4%,140,06,001,402802,,,,
Census Tract 4029,"1,917",559,29.2%,326,17.0%,0,0.0%,730,38.1%,0,0.0%,0,0.0%,95,5.0%,207,10.8%,140,06,001,402900,,,,
Census Tract 4030,"3,007",238,7.9%,122,4.1%,4,0.1%,"2,472",82.2%,7,0.2%,4,0.1%,65,2.2%,95,3.2%,140,06,001,403000,,,,
Census Tract 4031,"1,690",458,27.1%,236,14.0%,0,0.0%,732,43.3%,5,0.3%,10,0.6%,96,5.7%,153,9.1%,140,06,001,403100,,,,
Census Tract 4033.01,"1,999",186,9.3%,221,11.1%,0,0.0%,"1,413",70.7%,4,0.2%,5,0.3%,63,3.2%,107,5.4%,140,06,001,403301,,,,
Census Tract 4033.02,"3,220","1,261",39.2%,403,12.5%,7,0.2%,843,26.2%,20,0.6%,23,0.7%,250,7.8%,413,12.8%,140,06,001,403302,,,,
Census Tract 4034.01,"3,031","1,178",38.9%,443,14.6%,0,0.0%,817,27.0%,17,0.6%,19,0.6%,166,5.5%,391,12.9%,140,06,001,403401,,,,
Census Tract 4034.02,"1,524",463,30.4%,319,20.9%,10,0.7%,401,26.3%,4,0.3%,24,1.6%,101,6.6%,202,13.3%,140,06,001,403402,,,,
Census Tract 4035.01,"5,880","2,105",35.8%,"1,320",22.4%,26,0.4%,"1,368",23.3%,25,0.4%,40,0.7%,388,6.6%,608,10.3%,140,06,001,403501,,,,
Census Tract 4035.02,"2,148",996,46.4%,367,17.1%,3,0.1%,300,14.0%,4,0.2%,12,0.6%,163,7.6%,303,14.1%,140,06,001,403502,,,,
Census Tract 4036,"4,717","1,830",38.8%,"1,259",26.7%,3,0.1%,637,13.5%,13,0.3%,37,0.8%,369,7.8%,569,12.1%,140,06,001,403600,,,,
Census Tract 4037.01,"2,786","1,392",50.0%,406,14.6%,5,0.2%,432,15.5%,5,0.2%,24,0.9%,182,6.5%,340,12.2%,140,06,001,403701,,,,
Census Tract 4037.02,"2,149","1,068",49.7%,389,18.1%,3,0.1%,293,13.6%,5,0.2%,22,1.0%,151,7.0%,218,10.1%,140,06,001,403702,,,,
Census Tract 4038,"3,710","2,158",58.2%,319,8.6%,2,0.1%,481,13.0%,9,0.2%,22,0.6%,316,8.5%,403,10.9%,140,06,001,403800,,,,
Census Tract 4039,"3,943","2,110",53.5%,488,12.4%,6,0.2%,550,13.9%,7,0.2%,38,1.0%,276,7.0%,468,11.9%,140,06,001,403900,,,,
Census Tract 4040,"3,049","1,592",52.2%,366,12.0%,9,0.3%,436,14.3%,3,0.1%,21,0.7%,250,8.2%,372,12.2%,140,06,001,404000,,,,
Census Tract 4041.01,"3,139","1,945",62.0%,186,5.9%,4,0.1%,384,12.2%,0,0.0%,33,1.1%,235,7.5%,352,11.2%,140,06,001,404101,,,,
Census Tract 4041.02,"2,516","1,549",61.6%,181,7.2%,8,0.3%,345,13.7%,0,0.0%,15,0.6%,159,6.3%,259,10.3%,140,06,001,404102,,,,
Census Tract 4042,"3,641","2,307",63.4%,191,5.2%,5,0.1%,504,13.8%,0,0.0%,18,0.5%,315,8.7%,301,8.3%,140,06,001,404200,,,,
Census Tract 4043,"3,416","2,261",66.2%,115,3.4%,5,0.1%,489,14.3%,0,0.0%,17,0.5%,300,8.8%,229,6.7%,140,06,001,404300,,,,
Census Tract 4044,"5,621","3,345",59.5%,269,4.8%,9,0.2%,940,16.7%,6,0.1%,51,0.9%,545,9.7%,456,8.1%,140,06,001,404400,,,,
Census Tract 4045.01,"1,771","1,173",66.2%,65,3.7%,1,0.1%,228,12.9%,3,0.2%,23,1.3%,155,8.8%,123,6.9%,140,06,001,404501,,,,
Census Tract 4045.02,"6,194","3,911",63.1%,367,5.9%,7,0.1%,774,12.5%,4,0.1%,35,0.6%,545,8.8%,551,8.9%,140,06,001,404502,,,,
Census Tract 4046,"4,551","2,940",64.6%,218,4.8%,4,0.1%,556,12.2%,3,0.1%,33,0.7%,415,9.1%,382,8.4%,140,06,001,404600,,,,
Census Tract 4047,"1,982","1,239",62.5%,151,7.6%,3,0.2%,197,9.9%,7,0.4%,18,0.9%,182,9.2%,185,9.3%,140,06,001,404700,,,,
Census Tract 4048,"2,757","1,246",45.2%,360,13.1%,8,0.3%,418,15.2%,15,0.5%,13,0.5%,221,8.0%,476,17.3%,140,06,001,404800,,,,
Census Tract 4049,"4,458","2,281",51.2%,483,10.8%,8,0.2%,757,17.0%,14,0.3%,24,0.5%,364,8.2%,527,11.8%,140,06,001,404900,,,,
Census Tract 4050,"3,313","2,036",61.5%,224,6.8%,1,0.0%,412,12.4%,0,0.0%,21,0.6%,302,9.1%,317,9.6%,140,06,001,405000,,,,
Census Tract 4051,"4,363","2,752",63.1%,368,8.4%,4,0.1%,483,11.1%,3,0.1%,42,1.0%,362,8.3%,349,8.0%,140,06,001,405100,,,,
Census Tract 4052,"4,839","1,900",39.3%,569,11.8%,20,0.4%,"1,238",25.6%,9,0.2%,35,0.7%,443,9.2%,625,12.9%,140,06,001,405200,,,,
Census Tract 4053.01,"2,991","1,246",41.7%,484,16.2%,10,0.3%,461,15.4%,7,0.2%,24,0.8%,234,7.8%,525,17.6%,140,06,001,405301,,,,
Census Tract 4053.02,"2,797",821,29.4%,428,15.3%,2,0.1%,970,34.7%,2,0.1%,16,0.6%,167,6.0%,391,14.0%,140,06,001,405302,,,,
Census Tract 4054.01,"3,875",698,18.0%,655,16.9%,13,0.3%,"1,541",39.8%,10,0.3%,30,0.8%,175,4.5%,753,19.4%,140,06,001,405401,,,,
Census Tract 4054.02,"3,171",439,13.8%,596,18.8%,14,0.4%,"1,228",38.7%,5,0.2%,6,0.2%,156,4.9%,727,22.9%,140,06,001,405402,,,,
Census Tract 4055,"3,844",849,22.1%,641,16.7%,17,0.4%,"1,464",38.1%,8,0.2%,19,0.5%,183,4.8%,663,17.2%,140,06,001,405500,,,,
Census Tract 4056,"3,224",901,27.9%,536,16.6%,14,0.4%,"1,026",31.8%,7,0.2%,19,0.6%,199,6.2%,522,16.2%,140,06,001,405600,,,,
Census Tract 4057,"3,423",579,16.9%,835,24.4%,15,0.4%,"1,108",32.4%,5,0.1%,24,0.7%,198,5.8%,659,19.3%,140,06,001,405700,,,,
Census Tract 4058,"4,320",476,11.0%,695,16.1%,2,0.0%,"2,017",46.7%,22,0.5%,38,0.9%,174,4.0%,896,20.7%,140,06,001,405800,,,,
Census Tract 4059.01,"4,279",289,6.8%,541,12.6%,23,0.5%,"1,467",34.3%,16,0.4%,16,0.4%,122,2.9%,"1,805",42.2%,140,06,001,405901,,,,
Census Tract 4059.02,"3,181",280,8.8%,442,13.9%,10,0.3%,"1,513",47.6%,9,0.3%,13,0.4%,87,2.7%,827,26.0%,140,06,001,405902,,,,
Census Tract 4060,"5,223","1,128",21.6%,786,15.0%,42,0.8%,"1,726",33.0%,69,1.3%,34,0.7%,222,4.3%,"1,216",23.3%,140,06,001,406000,,,,
Census Tract 4061,"5,887","1,173",19.9%,804,13.7%,41,0.7%,701,11.9%,47,0.8%,30,0.5%,219,3.7%,"2,872",48.8%,140,06,001,406100,,,,
Census Tract 4062.01,"5,019",286,5.7%,637,12.7%,20,0.4%,"1,454",29.0%,11,0.2%,13,0.3%,151,3.0%,"2,447",48.8%,140,06,001,406201,,,,
Census Tract 4062.02,"4,769",313,6.6%,514,10.8%,39,0.8%,644,13.5%,14,0.3%,28,0.6%,103,2.2%,"3,114",65.3%,140,06,001,406202,,,,
Census Tract 4063,"3,989",461,11.6%,652,16.3%,8,0.2%,"1,273",31.9%,32,0.8%,22,0.6%,117,2.9%,"1,424",35.7%,140,06,001,406300,,,,
Census Tract 4064,"2,211",553,25.0%,506,22.9%,2,0.1%,507,22.9%,6,0.3%,8,0.4%,140,6.3%,489,22.1%,140,06,001,406400,,,,
Census Tract 4065,"6,196",592,9.6%,995,16.1%,22,0.4%,"1,328",21.4%,24,0.4%,31,0.5%,238,3.8%,"2,966",47.9%,140,06,001,406500,,,,
Census Tract 4066.01,"4,834",802,16.6%,"1,081",22.4%,15,0.3%,"1,299",26.9%,21,0.4%,30,0.6%,280,5.8%,"1,306",27.0%,140,06,001,406601,,,,
Census Tract 4066.02,"2,554",410,16.1%,577,22.6%,7,0.3%,594,23.3%,34,1.3%,9,0.4%,125,4.9%,798,31.2%,140,06,001,406602,,,,
Census Tract 4067,"5,567","2,650",47.6%,726,13.0%,18,0.3%,957,17.2%,30,0.5%,43,0.8%,448,8.0%,695,12.5%,140,06,001,406700,,,,
Census Tract 4068,"3,569","1,393",39.0%,483,13.5%,10,0.3%,841,23.6%,19,0.5%,17,0.5%,271,7.6%,535,15.0%,140,06,001,406800,,,,
Census Tract 4069,"3,839","1,395",36.3%,712,18.5%,17,0.4%,707,18.4%,17,0.4%,23,0.6%,306,8.0%,662,17.2%,140,06,001,406900,,,,
Census Tract 4070,"6,079",883,14.5%,"1,165",19.2%,30,0.5%,"1,606",26.4%,35,0.6%,49,0.8%,235,3.9%,"2,076",34.2%,140,06,001,407000,,,,
Census Tract 4071.01,"3,558",311,8.7%,484,13.6%,6,0.2%,671,18.9%,10,0.3%,16,0.4%,106,3.0%,"1,954",54.9%,140,06,001,407101,,,,
Census Tract 4071.02,"4,382",531,12.1%,653,14.9%,18,0.4%,904,20.6%,20,0.5%,16,0.4%,183,4.2%,"2,057",46.9%,140,06,001,407102,,,,
Census Tract 4072,"6,823",525,7.7%,414,6.1%,41,0.6%,733,10.7%,3,0.0%,24,0.4%,109,1.6%,"4,974",72.9%,140,06,001,407200,,,,
Census Tract 4073,"3,943",655,16.6%,582,14.8%,24,0.6%,268,6.8%,66,1.7%,21,0.5%,154,3.9%,"2,173",55.1%,140,06,001,407300,,,,
Census Tract 4074,"4,412",142,3.2%,757,17.2%,16,0.4%,395,9.0%,10,0.2%,13,0.3%,108,2.4%,"2,971",67.3%,140,06,001,407400,,,,
Census Tract 4075,"4,383",230,5.2%,"1,101",25.1%,16,0.4%,269,6.1%,66,1.5%,22,0.5%,134,3.1%,"2,545",58.1%,140,06,001,407500,,,,
Census Tract 4076,"6,390","1,052",16.5%,"1,794",28.1%,28,0.4%,664,10.4%,72,1.1%,37,0.6%,342,5.4%,"2,401",37.6%,140,06,001,407600,,,,
Census Tract 4077,"4,465","1,284",28.8%,"1,621",36.3%,11,0.2%,365,8.2%,12,0.3%,36,0.8%,338,7.6%,798,17.9%,140,06,001,407700,,,,
Census Tract 4078,"2,373",755,31.8%,640,27.0%,3,0.1%,223,9.4%,9,0.4%,20,0.8%,185,7.8%,538,22.7%,140,06,001,407800,,,,
Census Tract 4079,"3,081","1,154",37.5%,565,18.3%,5,0.2%,479,15.5%,19,0.6%,29,0.9%,286,9.3%,544,17.7%,140,06,001,407900,,,,
Census Tract 4080,"2,630","1,380",52.5%,292,11.1%,0,0.0%,501,19.0%,5,0.2%,12,0.5%,203,7.7%,237,9.0%,140,06,001,408000,,,,
Census Tract 4081,"6,712","2,275",33.9%,"1,630",24.3%,3,0.0%,"1,492",22.2%,24,0.4%,33,0.5%,546,8.1%,709,10.6%,140,06,001,408100,,,,
Census Tract 4082,"4,471",857,19.2%,"1,749",39.1%,22,0.5%,275,6.2%,10,0.2%,41,0.9%,296,6.6%,"1,221",27.3%,140,06,001,408200,,,,
Census Tract 4083,"4,791","1,169",24.4%,"1,592",33.2%,8,0.2%,371,7.7%,36,0.8%,38,0.8%,358,7.5%,"1,219",25.4%,140,06,001,408300,,,,
Census Tract 4084,"3,927",170,4.3%,"1,444",36.8%,16,0.4%,113,2.9%,42,1.1%,34,0.9%,123,3.1%,"1,985",50.5%,140,06,001,408400,,,,
Census Tract 4085,"5,752",205,3.6%,"1,980",34.4%,24,0.4%,174,3.0%,76,1.3%,23,0.4%,174,3.0%,"3,096",53.8%,140,06,001,408500,,,,
Census Tract 4086,"6,167",312,5.1%,"2,031",32.9%,11,0.2%,264,4.3%,57,0.9%,31,0.5%,233,3.8%,"3,228",52.3%,140,06,001,408600,,,,
Census Tract 4087,"7,774",530,6.8%,"2,742",35.3%,11,0.1%,365,4.7%,45,0.6%,39,0.5%,280,3.6%,"3,762",48.4%,140,06,001,408700,,,,
Census Tract 4088,"7,257",450,6.2%,"2,305",31.8%,31,0.4%,592,8.2%,82,1.1%,34,0.5%,245,3.4%,"3,518",48.5%,140,06,001,408800,,,,
Census Tract 4089,"3,857",143,3.7%,923,23.9%,11,0.3%,155,4.0%,19,0.5%,13,0.3%,79,2.0%,"2,514",65.2%,140,06,001,408900,,,,
Census Tract 4090,"4,879",365,7.5%,"1,425",29.2%,27,0.6%,292,6.0%,73,1.5%,41,0.8%,101,2.1%,"2,555",52.4%,140,06,001,409000,,,,
Census Tract 4091,"2,472",50,2.0%,629,25.4%,18,0.7%,122,4.9%,53,2.1%,10,0.4%,63,2.5%,"1,527",61.8%,140,06,001,409100,,,,
Census Tract 4092,"3,755",101,2.7%,927,24.7%,21,0.6%,213,5.7%,59,1.6%,28,0.7%,96,2.6%,"2,310",61.5%,140,06,001,409200,,,,
Census Tract 4093,"5,701",235,4.1%,"1,287",22.6%,10,0.2%,196,3.4%,27,0.5%,47,0.8%,118,2.1%,"3,781",66.3%,140,06,001,409300,,,,
Census Tract 4094,"5,379",181,3.4%,858,16.0%,18,0.3%,388,7.2%,54,1.0%,23,0.4%,73,1.4%,"3,784",70.3%,140,06,001,409400,,,,
Census Tract 4095,"4,390",246,5.6%,994,22.6%,15,0.3%,176,4.0%,42,1.0%,31,0.7%,82,1.9%,"2,804",63.9%,140,06,001,409500,,,,
Census Tract 4096,"5,777",142,2.5%,"1,309",22.7%,10,0.2%,167,2.9%,59,1.0%,18,0.3%,147,2.5%,"3,925",67.9%,140,06,001,409600,,,,
Census Tract 4097,"5,523",159,2.9%,"1,980",35.9%,14,0.3%,219,4.0%,135,2.4%,27,0.5%,210,3.8%,"2,779",50.3%,140,06,001,409700,,,,
Census Tract 4098,"3,220",492,15.3%,"1,640",50.9%,8,0.2%,222,6.9%,20,0.6%,29,0.9%,215,6.7%,594,18.4%,140,06,001,409800,,,,
Census Tract 4099,"3,546",997,28.1%,"1,514",42.7%,11,0.3%,367,10.3%,9,0.3%,26,0.7%,247,7.0%,375,10.6%,140,06,001,409900,,,,
Census Tract 4100,"3,031",953,31.4%,"1,167",38.5%,1,0.0%,267,8.8%,1,0.0%,26,0.9%,198,6.5%,418,13.8%,140,06,001,410000,,,,
Census Tract 4101,"2,925",310,10.6%,"1,384",47.3%,5,0.2%,201,6.9%,48,1.6%,26,0.9%,157,5.4%,794,27.1%,140,06,001,410100,,,,
Census Tract 4102,"3,679",212,5.8%,"1,410",38.3%,6,0.2%,234,6.4%,65,1.8%,24,0.7%,131,3.6%,"1,597",43.4%,140,06,001,410200,,,,
Census Tract 4103,"4,036",73,1.8%,832,20.6%,4,0.1%,131,3.2%,80,2.0%,8,0.2%,92,2.3%,"2,816",69.8%,140,06,001,410300,,,,
Census Tract 4104,"4,142",247,6.0%,"1,291",31.2%,7,0.2%,453,10.9%,18,0.4%,27,0.7%,144,3.5%,"1,955",47.2%,140,06,001,410400,,,,
Census Tract 4105,"2,553",426,16.7%,"1,306",51.2%,9,0.4%,268,10.5%,25,1.0%,15,0.6%,168,6.6%,336,13.2%,140,06,001,410500,,,,
Census Tract 4201,"2,436","1,343",55.1%,40,1.6%,1,0.0%,585,24.0%,2,0.1%,33,1.4%,186,7.6%,246,10.1%,140,06,001,420100,,,,
Census Tract 4202,"3,234","1,185",36.6%,96,3.0%,3,0.1%,"1,273",39.4%,2,0.1%,8,0.2%,286,8.8%,381,11.8%,140,06,001,420200,,,,
Census Tract 4203.01,"2,593",826,31.9%,107,4.1%,0,0.0%,"1,294",49.9%,0,0.0%,7,0.3%,168,6.5%,191,7.4%,140,06,001,420301,,,,
Census Tract 4203.02,"2,426","1,023",42.2%,74,3.1%,0,0.0%,755,31.1%,0,0.0%,23,0.9%,202,8.3%,349,14.4%,140,06,001,420302,,,,
Census Tract 4204.01,"1,597",642,40.2%,87,5.4%,4,0.3%,351,22.0%,1,0.1%,17,1.1%,104,6.5%,391,24.5%,140,06,001,420401,,,,
Census Tract 4204.02,"2,155",701,32.5%,164,7.6%,2,0.1%,550,25.5%,1,0.0%,25,1.2%,160,7.4%,552,25.6%,140,06,001,420402,,,,
Census Tract 4205,"2,431","1,098",45.2%,72,3.0%,1,0.0%,709,29.2%,1,0.0%,25,1.0%,236,9.7%,289,11.9%,140,06,001,420500,,,,
Census Tract 4206,"3,399","2,127",62.6%,51,1.5%,6,0.2%,626,18.4%,2,0.1%,30,0.9%,291,8.6%,266,7.8%,140,06,001,420600,,,,
Census Tract 4211,"2,031","1,408",69.3%,45,2.2%,0,0.0%,279,13.7%,3,0.1%,20,1.0%,141,6.9%,135,6.6%,140,06,001,421100,,,,
Census Tract 4212,"3,657","2,650",72.5%,58,1.6%,5,0.1%,376,10.3%,5,0.1%,25,0.7%,303,8.3%,235,6.4%,140,06,001,421200,,,,
Census Tract 4213,"3,945","2,782",70.5%,71,1.8%,0,0.0%,463,11.7%,0,0.0%,27,0.7%,323,8.2%,279,7.1%,140,06,001,421300,,,,
Census Tract 4214,"1,679","1,255",74.7%,18,1.1%,0,0.0%,168,10.0%,1,0.1%,16,1.0%,107,6.4%,114,6.8%,140,06,001,421400,,,,
Census Tract 4215,"3,745","2,715",72.5%,45,1.2%,0,0.0%,406,10.8%,4,0.1%,25,0.7%,318,8.5%,232,6.2%,140,06,001,421500,,,,
Census Tract 4216,"3,836","2,720",70.9%,102,2.7%,0,0.0%,431,11.2%,4,0.1%,46,1.2%,270,7.0%,263,6.9%,140,06,001,421600,,,,
Census Tract 4217,"3,386","2,057",60.8%,95,2.8%,0,0.0%,659,19.5%,4,0.1%,15,0.4%,285,8.4%,271,8.0%,140,06,001,421700,,,,
Census Tract 4218,"2,110","1,450",68.7%,57,2.7%,2,0.1%,252,11.9%,3,0.1%,17,0.8%,195,9.2%,134,6.4%,140,06,001,421800,,,,
Census Tract 4219,"3,901","2,281",58.5%,258,6.6%,3,0.1%,601,15.4%,6,0.2%,31,0.8%,327,8.4%,394,10.1%,140,06,001,421900,,,,
Census Tract 4220,"4,160","1,731",41.6%,779,18.7%,36,0.9%,527,12.7%,66,1.6%,58,1.4%,293,7.0%,670,16.1%,140,06,001,422000,,,,
Census Tract 4221,"2,843","1,180",41.5%,313,11.0%,11,0.4%,343,12.1%,9,0.3%,37,1.3%,222,7.8%,728,25.6%,140,06,001,422100,,,,
Census Tract 4222,"3,322","1,745",52.5%,256,7.7%,2,0.1%,560,16.9%,6,0.2%,51,1.5%,321,9.7%,381,11.5%,140,06,001,422200,,,,
Census Tract 4223,"3,811","2,107",55.3%,214,5.6%,2,0.1%,794,20.8%,2,0.1%,31,0.8%,276,7.2%,385,10.1%,140,06,001,422300,,,,
Census Tract 4224,"4,134","1,697",41.0%,222,5.4%,3,0.1%,"1,530",37.0%,7,0.2%,41,1.0%,264,6.4%,370,9.0%,140,06,001,422400,,,,
Census Tract 4225,"5,065","2,404",47.5%,217,4.3%,7,0.1%,"1,398",27.6%,22,0.4%,48,0.9%,274,5.4%,695,13.7%,140,06,001,422500,,,,
Census Tract 4227,"4,868","2,364",48.6%,117,2.4%,0,0.0%,"1,297",26.6%,2,0.0%,40,0.8%,420,8.6%,628,12.9%,140,06,001,422700,,,,
Census Tract 4228,"11,245","3,050",27.1%,340,3.0%,7,0.1%,"4,175",37.1%,1,0.0%,23,0.2%,502,4.5%,"3,147",28.0%,140,06,001,422800,,,,
Census Tract 4229.01,"2,322",713,30.7%,135,5.8%,5,0.2%,"1,054",45.4%,3,0.1%,12,0.5%,129,5.6%,271,11.7%,140,06,001,422901,,,,
Census Tract 4229.02,"3,033",918,30.3%,404,13.3%,21,0.7%,"1,083",35.7%,15,0.5%,39,1.3%,172,5.7%,381,12.6%,140,06,001,422902,,,,
Census Tract 4230,"4,676","2,629",56.2%,285,6.1%,14,0.3%,794,17.0%,8,0.2%,57,1.2%,371,7.9%,518,11.1%,140,06,001,423000,,,,
Census Tract 4231,"4,335","2,081",48.0%,560,12.9%,15,0.3%,657,15.2%,12,0.3%,46,1.1%,341,7.9%,623,14.4%,140,06,001,423100,,,,
Census Tract 4232,"2,886","1,022",35.4%,489,16.9%,10,0.3%,329,11.4%,8,0.3%,23,0.8%,187,6.5%,818,28.3%,140,06,001,423200,,,,
Census Tract 4233,"3,738","1,674",44.8%,810,21.7%,2,0.1%,357,9.6%,7,0.2%,35,0.9%,302,8.1%,551,14.7%,140,06,001,423300,,,,
Census Tract 4234,"5,057","2,239",44.3%,880,17.4%,8,0.2%,609,12.0%,6,0.1%,53,1.0%,424,8.4%,838,16.6%,140,06,001,423400,,,,
Census Tract 4235,"3,474","1,701",49.0%,459,13.2%,13,0.4%,571,16.4%,3,0.1%,43,1.2%,272,7.8%,412,11.9%,140,06,001,423500,,,,
Census Tract 4236.01,"2,824","1,747",61.9%,79,2.8%,6,0.2%,421,14.9%,6,0.2%,40,1.4%,237,8.4%,288,10.2%,140,06,001,423601,,,,
Census Tract 4236.02,"5,615","2,141",38.1%,148,2.6%,12,0.2%,"2,141",38.1%,10,0.2%,52,0.9%,397,7.1%,714,12.7%,140,06,001,423602,,,,
Census Tract 4237,"4,234","2,541",60.0%,143,3.4%,2,0.0%,692,16.3%,4,0.1%,21,0.5%,298,7.0%,533,12.6%,140,06,001,423700,,,,
Census Tract 4238,"3,216","2,368",73.6%,60,1.9%,3,0.1%,318,9.9%,6,0.2%,16,0.5%,215,6.7%,230,7.2%,140,06,001,423800,,,,
Census Tract 4239.01,"2,031","1,088",53.6%,260,12.8%,4,0.2%,202,9.9%,1,0.0%,18,0.9%,157,7.7%,301,14.8%,140,06,001,423901,,,,
Census Tract 4239.02,"1,464",989,67.6%,54,3.7%,3,0.2%,169,11.5%,0,0.0%,10,0.7%,111,7.6%,128,8.7%,140,06,001,423902,,,,
